1	1980	1980
2	1981	1980
3	1982	1980
4	1983	1980
5	1984	1980
6	1985	1985
7	1986	1985
8	1987	1985
9	1988	1985
10	1989	1985
11	1990	1990
12	1991	1990
13	1992	1990
14	1993	1990
15	1994	1990
16	1995	1995
17	1996	1995
18	1997	1995
19	1998	1995
20	1999	1995
21	2000	2000
22	2001	2000
23	2002	2000
24	2003	2000
25	2004	2000
26	2005	2005
27	2006	2005
28	2007	2005
29	2008	2005
30	2009	2005
31	2010	2010
32	2011	2010
33	2012	2010
34	2013	2010
35	2014	2010
36	2015	2015
37	2016	2015
38	2017	2015
39	2018	2015
40	0	7777
